prop,option,nodes,material,thickness,width.0,width.1,width.2,height.0,height.1,height.2,category.0,category.1,category.2,category.3,nativeModel,nativeModelSettings,notes,productLink,xmodel,image.0,image.1,image.2,image.3,image.4,image.5,image.6
Alpha Bulb,Hanging A,,Coro,10,,,,23,,,Letters,,,,,,,https://gilbertengineeringusa.com/,,,https://cdn.shopify.com/s/files/1/0165/4439/9424/products/AlphaBulbs_A-Z_800x.JPG?v=1569162645,,,,,
Alpha Bulb,Hanging B,,Coro,10,,,,23,,,Letters,,,,,,,https://gilbertengineeringusa.com/,,,https://cdn.shopify.com/s/files/1/0165/4439/9424/products/AlphaBulbs_A-Z_800x.JPG?v=1569162645,,,,,
Alpha Bulb,Hanging C,,Coro,10,,,,23,,,Letters,,,,,,,https://gilbertengineeringusa.com/,,,https://cdn.shopify.com/s/files/1/0165/4439/9424/products/AlphaBulbs_A-Z_800x.JPG?v=1569162645,,,,,
Alpha Bulb,Hanging D,,Coro,10,,,,23,,,Letters,,,,,,,https://gilbertengineeringusa.com/,,,https://cdn.shopify.com/s/files/1/0165/4439/9424/products/AlphaBulbs_A-Z_800x.JPG?v=1569162645,,,,,
Alpha Bulb,Hanging E,,Coro,10,,,,23,,,Letters,,,,,,,https://gilbertengineeringusa.com/,,,https://cdn.shopify.com/s/files/1/0165/4439/9424/products/AlphaBulbs_A-Z_800x.JPG?v=1569162645,,,,,
Alpha Bulb,Hanging F,,Coro,10,,,,23,,,Letters,,,,,,,https://gilbertengineeringusa.com/,,,https://cdn.shopify.com/s/files/1/0165/4439/9424/products/AlphaBulbs_A-Z_800x.JPG?v=1569162645,,,,,
Alpha Bulb,Hanging G,,Coro,10,,,,23,,,Letters,,,,,,,https://gilbertengineeringusa.com/,,,https://cdn.shopify.com/s/files/1/0165/4439/9424/products/AlphaBulbs_A-Z_800x.JPG?v=1569162645,,,,,
Alpha Bulb,Hanging H,,Coro,10,,,,23,,,Letters,,,,,,,https://gilbertengineeringusa.com/,,,https://cdn.shopify.com/s/files/1/0165/4439/9424/products/AlphaBulbs_A-Z_800x.JPG?v=1569162645,,,,,
Alpha Bulb,Hanging I,,Coro,10,,,,23,,,Letters,,,,,,,https://gilbertengineeringusa.com/,,,https://cdn.shopify.com/s/files/1/0165/4439/9424/products/AlphaBulbs_A-Z_800x.JPG?v=1569162645,,,,,
Alpha Bulb,Hanging J,,Coro,10,,,,23,,,Letters,,,,,,,https://gilbertengineeringusa.com/,,,https://cdn.shopify.com/s/files/1/0165/4439/9424/products/AlphaBulbs_A-Z_800x.JPG?v=1569162645,,,,,
Alpha Bulb,Hanging K,,Coro,10,,,,23,,,Letters,,,,,,,https://gilbertengineeringusa.com/,,,https://cdn.shopify.com/s/files/1/0165/4439/9424/products/AlphaBulbs_A-Z_800x.JPG?v=1569162645,,,,,
Alpha Bulb,Hanging L,,Coro,10,,,,23,,,Letters,,,,,,,https://gilbertengineeringusa.com/,,,https://cdn.shopify.com/s/files/1/0165/4439/9424/products/AlphaBulbs_A-Z_800x.JPG?v=1569162645,,,,,
Alpha Bulb,Hanging M,,Coro,10,,,,23,,,Letters,,,,,,,https://gilbertengineeringusa.com/,,,https://cdn.shopify.com/s/files/1/0165/4439/9424/products/AlphaBulbs_A-Z_800x.JPG?v=1569162645,,,,,
